Num,Name,,,,,
010105041002003,皮蠹科皮蠹属钩翅皮蠹,,,,,
010105041002004,皮蠹科皮蠹属拟白腹皮蠹,,,,,
010105041002005,皮蠹科皮蠹属钩纹皮蠹,,,,,
010105041002006,皮蠹科皮蠹属肉食皮蠹,,,,,
010105041002007,皮蠹科皮蠹属波纹皮蠹,,,,,
010105041003001,皮蠹科圆皮蠹属小圆皮蠹,,,,,
010105041003002,皮蠹科圆皮蠹属白带圆皮蠹,,,,,
010105041004001,皮蠹科斑皮蠹属谷斑皮蠹,,,,,
010105041004002,皮蠹科斑皮蠹属花斑皮蠹,,,,,
010105041004003,皮蠹科斑皮蠹属条斑皮蠹,,,,,
010105041004004,皮蠹科斑皮蠹属云南斑皮蠹,,,,,
010105044001001,窃蠹科毛食骸甲属烟草甲,,,,,
010105044002001,窃蠹科药材甲属药材甲,,,,,
010103006001001,灯蛾科白蛾属美国白蛾,,,,,
010103002001001,蚕蛾科,,,,,
010103002002001,蚕蛾科,,,,,
010103002003001,蚕蛾科,,,,,
010103032001001,舟蛾科松异带蛾,,,,,
010101003001001,蝽科茶翅蝽属褐翅蝽象,,,,,
010101003002001,蝽科稻绿蝽,,,,,
010101003003001,蝽科麻皮蝽,,,,,
010109001001001,蜚蠊科德国小蠊/德国蜚蠊,,,,,
010109001002001,蜚蠊科大蠊属美洲大蠊/美洲大蜚蠊,,,,,
010105020001001,金龟科绢金龟属东方绢金龟,,,,,
010105020002001,金龟科弧丽金龟属日本金龟子/日本丽金龟,,,,,
010105020003001,金龟科异丽金龟属铜绿丽金龟/铜绿异丽金龟,,,,,
010105060001001,小蕈甲科小蕈甲属小蕈甲/毛蕈甲,,,,,
010105060002001,小蕈甲科亚洲二色小蕈甲,,,,,
010105067001001,蚁形甲科蚁形甲属谷蚁形甲,,,,,
010105012001001,郭公虫科赤颈郭公虫,,,,,
010105012001002,郭公虫科赤足郭公虫,,,,,
010105012002001,郭公虫科暗褐郭公虫,,,,,
010105012003001,郭公虫科二带赤颈郭公虫,,,,,
010105078001001,蛛甲科蛛甲属日本蛛甲,,,,,
010105078001002,蛛甲科蛛甲属短毛蛛甲,,,,,
010105078002001,蛛甲科裸蛛甲属拟裸蛛甲,,,,,
010105048001001,三锥象虫科,,,,,
010103008001001,毒蛾科毒蛾属舞毒蛾,,,,,
010103008001002,毒蛾科毒蛾属松针毒蛾,,,,,
010103008001003,毒蛾科毒蛾属,,,,,
010103008001004,毒蛾科毒蛾属,,,,,
010103008002001,毒蛾科黄毒蛾属,,,,,
010103008003001,毒蛾科,,,,,
010103009001001,粉蝶科粉蝶属菜粉蝶,,,,,
010103010001001,凤蝶科,,,,,
010105009001001,粉蠹科褐粉蠹,,,,,
010105009001002,粉蠹科栎粉蠹,,,,,
010105009002001,粉蠹科鳞毛粉蠹,,,,,
010105065001001,叶甲科叶甲属马铃薯甲虫,,,,,
010105065002001,叶甲科,,,,,
010105065003001,叶甲科龟甲属,,,,,
010105065004001,叶甲科,,,,,
010105007001001,大蕈甲科褐蕈甲/褐隐蕈甲,,,,,
010105051001001,铁甲科椰心叶甲,,,,,
010105011001001,谷盗科暹罗谷盗,,,,,
010103015001001,灰蝶科梳灰蝶属东北梳灰蝶,,,,,
010103015002002,灰蝶科蓝灰蝶属蓝灰蝶/蓝蝶,,,,,
010103015003003,灰蝶科琉璃灰蝶属琉璃灰碟,,,,,
